epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.32984,2.38117,3.41146,1.36636,0.03667,0.04453,0.00207,0.00063,2.07501,3.54453,0.94449,0,0,0
2,12.7487,2.31307,3.38628,1.37301,0.04,0.04858,0.00224,0.00068,2.04552,3.54093,0.93444,1.9604e-05,1.9604e-05,1.9604e-05
3,19.7825,2.29346,3.3942,1.35083,0.04667,0.05668,0.00297,0.001,1.98821,3.53218,0.92026,3.8416e-05,3.8416e-05,3.8416e-05
4,25.3363,2.18988,3.40705,1.25309,0.07,0.08502,0.00662,0.00224,1.92818,3.51676,0.89692,5.6436e-05,5.6436e-05,5.6436e-05
5,31.4067,2.06813,3.43056,1.18645,0.10667,0.12955,0.01506,0.00612,1.87207,3.48774,0.87844,7.3664e-05,7.3664e-05,7.3664e-05
6,36.9472,2.10128,3.28063,1.23669,0.15,0.18219,0.03076,0.01273,1.88564,3.46179,0.87879,9.01e-05,9.01e-05,9.01e-05
7,42.6869,2.27091,3.21936,1.23697,0.20333,0.24696,0.05485,0.02173,1.92732,3.43465,0.86604,0.000105744,0.000105744,0.000105744
8,50.1613,2.0439,3.22299,1.14907,0.25667,0.31174,0.08632,0.0322,1.98646,3.40681,0.86887,0.000120596,0.000120596,0.000120596
9,55.5093,2.16583,3.14709,1.18416,0.3,0.36437,0.11074,0.0428,2.04129,3.37281,0.86239,0.000134656,0.000134656,0.000134656
10,61.0103,2.11856,3.04977,1.14366,0.32667,0.39676,0.1324,0.05215,2.07213,3.32466,0.8677,0.000147924,0.000147924,0.000147924
11,67.8093,2.04776,2.93904,1.11802,0.32333,0.39271,0.13191,0.05157,2.03159,3.29539,0.85066,0.0001604,0.0001604,0.0001604
12,76.39,2.16037,2.78831,1.17381,0.33,0.40081,0.13786,0.05119,2.00106,3.27644,0.83265,0.000172084,0.000172084,0.000172084
13,83.8298,2.20284,2.69618,1.13801,0.34333,0.417,0.14577,0.05142,1.98091,3.24982,0.82943,0.000182976,0.000182976,0.000182976
14,89.6321,2.34537,2.5647,1.10809,0.32667,0.39676,0.13283,0.04768,2.00285,3.20069,0.83456,0.000193076,0.000193076,0.000193076
15,97.581,2.08474,2.33259,1.06469,0.35333,0.42915,0.15357,0.05532,2.03938,3.13159,0.846,0.000202384,0.000202384,0.000202384
16,103.01,2.29395,2.29407,1.11974,0.38333,0.46559,0.20556,0.07662,2.04193,3.06144,0.84771,0.0002109,0.0002109,0.0002109
17,108.497,2.11869,2.13709,1.05895,0.36667,0.44534,0.23575,0.10667,2.04439,2.99202,0.86208,0.000218624,0.000218624,0.000218624
18,112.571,2.13362,2.02313,1.07432,0.36667,0.44534,0.23575,0.10667,2.04439,2.99202,0.86208,0.000225556,0.000225556,0.000225556
19,118.597,2.07461,1.99059,1.09833,0.38,0.46154,0.2968,0.12838,2.05327,2.92424,0.8637,0.000231696,0.000231696,0.000231696
20,125.668,2.20654,1.93716,1.08793,0.38,0.46154,0.2968,0.12838,2.05327,2.92424,0.8637,0.000237044,0.000237044,0.000237044
21,129.354,2.01617,1.74122,1.039,0.37667,0.45749,0.33865,0.1439,2.02857,2.8512,0.85622,0.0002416,0.0002416,0.0002416
22,134.47,2.01322,1.74938,1.07831,0.37667,0.45749,0.33865,0.1439,2.02857,2.8512,0.85622,0.000245364,0.000245364,0.000245364
23,140.185,2.05068,1.72112,1.08755,0.38333,0.46559,0.35405,0.14605,2.01851,2.77982,0.85751,0.000248336,0.000248336,0.000248336
24,146.24,2.17052,1.65391,1.03134,0.38333,0.46559,0.35405,0.14605,2.01851,2.77982,0.85751,0.000250516,0.000250516,0.000250516
25,150.11,1.98952,1.61578,1.03571,0.40667,0.49393,0.36952,0.15243,2.01497,2.71771,0.85737,0.000251904,0.000251904,0.000251904
26,156.108,2.09741,1.627,1.04701,0.40667,0.49393,0.36952,0.15243,2.01497,2.71771,0.85737,0.0002525,0.0002525,0.0002525
27,162.245,2.21819,1.70285,1.06003,0.45667,0.55466,0.41407,0.17025,2.004,2.65344,0.85566,0.000252304,0.000252304,0.000252304
28,169.119,2.25272,1.61532,1.03613,0.45667,0.55466,0.41407,0.17025,2.004,2.65344,0.85566,0.000251316,0.000251316,0.000251316
29,175.176,2.12705,1.54105,1.07276,0.51667,0.62753,0.5027,0.21187,1.99376,2.57357,0.85848,0.000249536,0.000249536,0.000249536
30,180.861,1.95585,1.49866,1.05818,0.51667,0.62753,0.5027,0.21187,1.99376,2.57357,0.85848,0.000246964,0.000246964,0.000246964
31,186.902,2.13179,1.55105,1.04484,0.57333,0.69636,0.59513,0.25372,1.97686,2.48345,0.85846,0.0002436,0.0002436,0.0002436
32,193.074,2.12642,1.46934,1.02866,0.57333,0.69636,0.59513,0.25372,1.97686,2.48345,0.85846,0.000239444,0.000239444,0.000239444
33,199.796,2.02318,1.40764,1.02495,0.61333,0.74494,0.67174,0.28419,1.97972,2.38508,0.86081,0.000234496,0.000234496,0.000234496
34,205.197,2.2448,1.54402,1.03535,0.61333,0.74494,0.67174,0.28419,1.97972,2.38508,0.86081,0.000228756,0.000228756,0.000228756
35,209.34,1.96531,1.27981,0.98611,0.62667,0.76113,0.69697,0.29021,1.98503,2.28849,0.85654,0.000222224,0.000222224,0.000222224
